Mês / Ano de Referência;Entidade;UC/CNPJ;Total Repassado
nov/15;SENAR;37.138.245/0001-90;55841556
nov/15;SEST;73.471.989/0001-95;35734607
nov/15;SENAT;73.471.963/0001-47;22512368
nov/15;SESCOOP;03.087.543/0001-86;22659534
nov/15;SDR;420013 / 00001;17494083
nov/15;APEX-BR;05.507.500/0001-38;33952467
nov/15;ABDI;07.200.966/0001-11;4864197
dez/15;FNDE;153173 / 15253;1505051956
dez/15;INCRA;373001 / 37201;107359603
dez/15;SENAI;33.564.543/0001-90;125669841
dez/15;SESI;33.641.358/0001-52;180405910
dez/15;SENAC;33.469.172/0001-68;200515725
dez/15;SESC;33.469.164/0001-11;360311950
dez/15;SEBRAE;00.330.854/0001-45;249253135
dez/15;EMBRATUR;35.842.428/0001-66;0
dez/15;DPC;852001 / 00001;12181794
dez/15;ANAC;122002 / 00001;19097423
dez/15;SENAR;37.138.245/0001-90;55237564
dez/15;SEST;73.471.989/0001-95;38150014
dez/15;SENAT;73.471.963/0001-47;24009971
dez/15;SESCOOP;03.087.543/0001-86;25082901
dez/15;SDR;420013 / 00001;18935023
dez/15;APEX-BR;05.507.500/0001-38;35780894
dez/15;ABDI;07.200.966/0001-11;5126142
jan/16;FNDE;153173 / 15253;2641342636
jan/16;INCRA;373001 / 37201;184369799
jan/16;SENAI;33.564.543/0001-90;206590219
jan/16;SESI;33.641.358/0001-52;295942048
jan/16;SENAC;33.469.172/0001-68;341443629
jan/16;SESC;33.469.164/0001-11;616112072
jan/16;SEBRAE;00.330.854/0001-45;427854975
jan/16;EMBRATUR;35.842.428/0001-66;0
jan/16;DPC;852001 / 00001;19619304
jan/16;ANAC;122002 / 00001;29767428
jan/16;SENAR;37.138.245/0001-90;49508667
jan/16;SEST;73.471.989/0001-95;57950675
jan/16;SENAT;73.471.963/0001-47;37579076
jan/16;SESCOOP;03.087.543/0001-86;43435416
jan/16;SDR;420013 / 00001;32532048
jan/16;APEX-BR;05.507.500/0001-38;61982179
jan/16;ABDI;07.200.966/0001-11;8879876
fev/16;FNDE;153173 / 15253;1561552120
fev/16;INCRA;373001 / 37201;108896716
fev/16;SENAI;33.564.543/0001-90;126387105
fev/16;SESI;33.641.358/0001-52;181272664
fev/16;SENAC;33.469.172/0001-68;204004841
fev/16;SESC;33.469.164/0001-11;368394356
fev/16;SEBRAE;00.330.854/0001-45;256686003
fev/16;EMBRATUR;35.842.428/0001-66;0
fev/16;DPC;852001 / 00001;13112651
fev/16;ANAC;122002 / 00001;21368230
fev/16;SENAR;37.138.245/0001-90;47883790
fev/16;SEST;73.471.989/0001-95;35750274
fev/16;SENAT;73.471.963/0001-47;22783314
fev/16;SESCOOP;03.087.543/0001-86;24725690
fev/16;SDR;420013 / 00001;19205062
fev/16;APEX-BR;05.507.500/0001-38;37086041
fev/16;ABDI;07.200.966/0001-11;5313125
mar/16;FNDE;153173 / 15253;1530800283
mar/16;INCRA;373001 / 37201;108377346
mar/16;SENAI;33.564.543/0001-90;122383201
mar/16;SESI;33.641.358/0001-52;175527864
mar/16;SENAC;33.469.172/0001-68;202830494
mar/16;SESC;33.469.164/0001-11;364750091
mar/16;SEBRAE;00.330.854/0001-45;250966990
mar/16;EMBRATUR;35.842.428/0001-66;0
mar/16;DPC;852001 / 00001;12413229
mar/16;ANAC;122002 / 00001;18258660
mar/16;SENAR;37.138.245/0001-90;47820863
mar/16;SEST;73.471.989/0001-95;34955731
mar/16;SENAT;73.471.963/0001-47;22512395
mar/16;SESCOOP;03.087.543/0001-86;24991432
mar/16;SDR;420013 / 00001;19115041
mar/16;APEX-BR;05.507.500/0001-38;36272504
mar/16;ABDI;07.200.966/0001-11;5196571
abr/16;FNDE;153173 / 15253;1528966346
abr/16;INCRA;373001 / 37201;109831194
abr/16;SENAI;33.564.543/0001-90;119621420
abr/16;SESI;33.641.358/0001-52;172076300
abr/16;SENAC;33.469.172/0001-68;203696264
abr/16;SESC;33.469.164/0001-11;366728299
abr/16;SEBRAE;00.330.854/0001-45;247671943
abr/16;EMBRATUR;35.842.428/0001-66;0
abr/16;DPC;852001 / 00001;12767809
abr/16;ANAC;122002 / 00001;17381576
abr/16;SENAR;37.138.245/0001-90;63908355
abr/16;SEST;73.471.989/0001-95;36483309
abr/16;SENAT;73.471.963/0001-47;23138349
abr/16;SESCOOP;03.087.543/0001-86;25517130
abr/16;SDR;420013 / 00001;19349348
abr/16;APEX-BR;05.507.500/0001-38;35970070
abr/16;ABDI;07.200.966/0001-11;5157779
mai/16;FNDE;153173 / 15253;1516892712
mai/16;INCRA;373001 / 37201;108268397
mai/16;SENAI;33.564.543/0001-90;119127791
mai/16;SESI;33.641.358/0001-52;170318209
mai/16;SENAC;33.469.172/0001-68;201282019
mai/16;SESC;33.469.164/0001-11;362275318
mai/16;SEBRAE;00.330.854/0001-45;246943494
mai/16;EMBRATUR;35.842.428/0001-66;0
mai/16;DPC;852001 / 00001;12409046
mai/16;ANAC;122002 / 00001;19313677
mai/16;SENAR;37.138.245/0001-90;79546181
mai/16;SEST;73.471.989/0001-95;36145029
mai/16;SENAT;73.471.963/0001-47;22936647
mai/16;SESCOOP;03.087.543/0001-86;24740018
mai/16;SDR;420013 / 00001;19095257
mai/16;APEX-BR;05.507.500/0001-38;35892379
mai/16;ABDI;07.200.966/0001-11;5145673
jun/16;FNDE;153173 / 15253;1509666579
jun/16;INCRA;373001 / 37201;107413776
jun/16;SENAI;33.564.543/0001-90;117979521
jun/16;SESI;33.641.358/0001-52;169891463
jun/16;SENAC;33.469.172/0001-68;201597396
jun/16;SESC;33.469.164/0001-11;364622706
jun/16;SEBRAE;00.330.854/0001-45;246925570
jun/16;EMBRATUR;35.842.428/0001-66;0
jun/16;DPC;852001 / 00001;12191203
jun/16;ANAC;122002 / 00001;17529922
jun/16;SENAR;37.138.245/0001-90;73787196
jun/16;SEST;73.471.989/0001-95;37319302
jun/16;SENAT;73.471.963/0001-47;23522935
jun/16;SESCOOP;03.087.543/0001-86;24688810
jun/16;SDR;420013 / 00001;18941515
jun/16;APEX-BR;05.507.500/0001-38;35886008
